id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
84986,"Gorgeous Palermo, Buenos Aires, flatshare.",454822,D. / Lola,,Palermo,-34.57269,-58.41869,Private room,900,7,56,2019-09-30,0.53,2,107
85949,Modern & Luminous Apt in GreatLocation!,426566,Egle,,Almagro,-34.62007,-58.41728,Entire home/apt,1260,5,35,2020-01-05,0.34,8,359
87828,"habitación individual, única huésped de la casa.",480785,Isabel,,Retiro,-34.59278,-58.38196,Private room,540,3,1,2019-08-02,0.17,2,88
89374,☼ Sunny   1 bedroom + balcony with views,319901,Ralf,,Recoleta,-34.59307,-58.40337,Entire home/apt,4502,3,52,2019-11-19,0.53,33,293
89857,Sunny apartment in Buenos Aires,488300,Mariano,,Balvanera,-34.60236,-58.39291,Entire home/apt,3601,7,0,,,1,364
91063,"Cosy, central apartment in BsAs",492560,Laurence,,Caballito,-34.61842,-58.43194,Entire home/apt,3481,3,54,2019-06-21,0.54,1,316
92228,Experiencia Recoleta-Buenos Aires,494027,Mirta Susana,,Recoleta,-34.58556,-58.40495,Entire home/apt,3001,10,1,2020-01-09,1,2,300
92689,Stunning 1BD w/terrace in Palermo,488973,Casilda Maria,,Palermo,-34.57682,-58.40062,Entire home/apt,4802,2,97,2019-12-22,0.93,2,365
93174,"B&B ""Tucuman 2430""1 room x 1 or 2p",500210,Luciano,,Balvanera,-34.60193,-58.40109,Private room,1020,2,10,2019-04-07,0.10,4,365
93619,DEPARTMENT C / CABIN SECURITY,501789,Jessica Emerita,,San Cristobal,-34.62583,-58.40795,Shared room,4202,1,0,,,1,365
94830,Sophisticated Flat in Palermo,505796,Sunshine,,Palermo,-34.57509,-58.41869,Entire home/apt,1681,5,7,2019-02-18,0.15,1,365
96103,ROOM PALERMO best location in BA,510708,Alexia,,Palermo,-34.58187,-58.43543,Private room,1320,5,60,2020-01-11,0.59,1,23
96257,Lovely apartment in Buenos Aires,320183,Hortensia,,Retiro,-34.5981,-58.37775,Entire home/apt,4202,15,0,,,4,53
96490,AMPLIA habitación individual en Buenos Aires,512049,Cristina,,Palermo,-34.58405,-58.41106,Private room,600,6,0,,,1,351
96810,Recoleta Luxury: Design and Style!,508291,Enzo,,Retiro,-34.59323,-58.3867,Entire home/apt,3901,3,35,2019-12-28,0.51,1,360
97043,Downtown 4 blocks away from Obelisk,514200,Ceferina De Jesus,,San Nicolas,-34.60517,-58.3884,Entire home/apt,2161,28,9,2013-11-25,0.10,2,357
98934,Monthly Apartment Recoleta,521351,Alfonsina,,Recoleta,-34.5899,-58.39027,Entire home/apt,4202,1,1,2011-08-09,0.01,1,365
99362,Depto Recoleta 3 dormitorios. Balcon y Wifi,417090,Mateo,,Recoleta,-34.59328,-58.39443,Entire home/apt,3601,9,15,2019-07-04,0.16,11,365
100080,Great downtown apartment!,526435,Laura,,San Nicolas,-34.60319,-58.38805,Entire home/apt,1921,3,23,2019-07-30,0.26,2,257
100930,Great location! 1 block from/Abasto Mall,529562,Nila,,Balvanera,-34.60475,-58.4093,Entire home/apt,1801,1,2,2011-08-01,0.02,1,323
104343,Faena Hotel Stunning Views Private Luxury  Suite*,542973,Brigitte,,Puerto Madero,-34.60126,-58.35488,Hotel room,6662,1,141,2020-01-04,1.42,1,316
106475,Artdecohouse Palermo,547581,Carol,,Recoleta,-34.59045,-58.40926,Entire home/apt,9603,3,112,2020-01-02,1.10,1,364
107220,Great Private Room!,555337,Anita & Sofía,,Almagro,-34.59828,-58.41283,Private room,840,7,5,2014-01-19,0.05,2,365
107259,Great place to 12 Tango lovers,555693,Vittoria,,Balvanera,-34.60485,-58.39448,Entire home/apt,23949,3,26,2019-03-13,0.28,2,365
108089,AMAZING PALERMO BEST VALUE w POOL,559463,Martin,,Palermo,-34.58643,-58.4242,Entire home/apt,2221,3,75,2019-12-03,0.94,5,252
108284,Historico y Luminoso Duplex Centro!,560338,Carlos,,San Nicolas,-34.6019,-58.37736,Entire home/apt,3301,2,231,2019-12-23,2.32,26,269
111501,Beautiful Apartment Palermo Vip Great location,570921,Emilce,,Palermo,-34.57808,-58.41184,Entire home/apt,3301,3,119,2019-11-28,1.15,2,320
111934,Bright Studio at Palermo Soho,570921,Emilce,,Palermo,-34.58156,-58.42862,Entire home/apt,2041,3,101,2019-04-22,0.96,2,308
115735,Premium Asian Loft in Buenos Aires,513930,Carlos Alberto,,Palermo,-34.59046,-58.43516,Entire home/apt,1561,12,43,2019-10-18,0.43,2,190
117548,"Palermo, Buenos Aires: Complete flat: ""Alma Mia"".",454822,D. / Lola,,Palermo,-34.57247,-58.41936,Entire home/apt,3301,56,0,,,2,115
118069,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,,Palermo,-34.58014,-58.43209,Entire home/apt,4202,2,18,2019-12-30,0.19,25,267
118070,Amazing view - GREAT Studio - Balcony,530261,Luciano,,Palermo,-34.58533,-58.42802,Entire home/apt,4802,3,40,2019-11-09,0.40,25,333
118724,Department to 5 min to city centre,599519,Angel Francisco,,Almagro,-34.6,-58.43025,Private room,2881,1,0,,,1,365
119036,Amazing duplex in Recoleta,601227,Frederic,,Recoleta,-34.59078,-58.39751,Entire home/apt,2401,5,1,2019-09-16,0.23,2,364
119966,Room with library downtown,62183,Sonia,,Balvanera,-34.60564,-58.3994,Private room,2101,3,0,,,2,365
120874,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,,Recoleta,-34.5911,-58.39978,Entire home/apt,6002,2,9,2017-11-10,0.09,25,206
122328,Urban Mexican Apart in Buenos Aires,513930,Carlos Alberto,,Palermo,-34.58843,-58.43585,Entire home/apt,3001,12,28,2019-07-08,0.28,2,95
122907,Spotless entire apt. Ideal location,426566,Egle,,Almagro,-34.61879,-58.41556,Entire home/apt,1801,7,15,2019-10-02,0.15,8,356
125123,Beautiful room in Ap. near palermo,622759,Barbara,,Colegiales,-34.57353,-58.45365,Private room,1080,3,3,2015-09-01,0.04,2,364
126852,LUXURY  2 Br APT IN PUERTO MADERO B.A.!!!,628818,Sandra,,Puerto Madero,-34.61748,-58.36285,Entire home/apt,7203,30,0,,,1,67
127822,"Barrancas Home, in Belgrano. Sunny full apartment.",632638,Mima,,Belgrano,-34.56286,-58.4543,Entire home/apt,30011,2,8,2018-01-13,0.21,3,89
129009,Tango Studio:Charming private room,637123,CristianyMichaela,,Constitucion,-34.62971,-58.38103,Private room,1801,5,15,2019-05-03,0.15,2,364
129681,Studio Rojo Design Belgrano - 2 Pax,638545,Luisa,,Belgrano,-34.55673,-58.45676,Entire home/apt,2701,5,14,2018-08-11,0.18,3,96
129900,Barrancas Home: Nice room + priv. bath sing/dbl,632638,Mima,,Belgrano,-34.56098,-58.45442,Private room,1501,2,22,2018-12-07,0.56,3,89
129932,Palermo View Studio at Palermo Uno Tower,319901,Ralf,,Palermo,-34.58264,-58.42451,Entire home/apt,4802,2,109,2019-12-02,1.05,33,310
130248,Small charmy and fully at Palermo,641573,Paula,,Palermo,-34.57693,-58.41193,Entire home/apt,1681,2,67,2020-01-06,0.80,7,249
130275,Van Gogh s apart at Palermo,641573,Paula,,Palermo,-34.57675,-58.41068,Entire home/apt,1200,2,14,2019-06-03,0.18,7,260
130349,"alquilo por noche,o semana",641884,Marcelo,,San Nicolas,-34.60462,-58.37764,Private room,6002,1,0,,,1,365
130424,Palermo Holly New Studio Apt - 4th floor - 33 m2,642182,Aike,,Palermo,-34.57935,-58.43484,Entire home/apt,3241,3,9,2012-12-31,0.09,2,177
